cleaned_text,deceptive
stay night getaway family thursday triple aaa rate steal floor room complete plasma tv bose stereo voss evian water gorgeous tub fine concierge helpful beat location flaw breakfast pricey service kid adult friday morning table restaurant food good worth wait return heartbeat gem chicago,0
triple rate upgrade view room include breakfast voucher great view river lake wrigley bldg tribune bldg major restaurant shopping sightsee attraction walking distance large room comfortable bed,0
come little late finally catch review past month dear friend stay hyatt regency late october night visit friend husband town hotel perfect imo easy check check lovely clean comfortable room great view city know area pretty convenient downtown chicago attraction dinner go club friend division st problem get cab forth hyatt public transportation right near bother need cab hotel parking usual chicago expensive able car quickly leave sunday morning exactly high traffic time bear homegame day bit busy usual think problem good get rate hotwire downright steal area chicago quality hotel,0
omni chicago deliver front spaciousness room helpful staff prized location michigan avenue address chicago require high level quality omni deliver check group people minute staff plentiful recommendation dining event room large find price range chicago standard room separate live area work desk fitness center free weight weight machine row cardio equipment share room feel cramped way great property,0
ask high floor away elevator get room pleasantly decorate functional clean need lot service pleasant prompt fitness center equipped work order great location end michigan avenue shopping district,0
stay omni night follow business meeting downtown chicago hotel completely impressed service personnel stay absolutely outstanding check early problem efficiently check room somewhat heavy scent air freshener negative entire stay manage reasonably open window generally require hotel stay suffice doorman housekeeping night manager bartender day waiter concierge amazing wait second room comfy amenity superior tiny complaint wastebasket near sink near wet bar walk end bathroom sit room dispose kleenex coffee paraphernalia wastebasket difference say great hotel thank omni great stay,0
stay conrad night thanksgiving corner room overlook n michigan av tribune building star hotel damn place faint praise wonderful staff unbelievably helpful standard room superb hd plasma screen luxury bedlinen ipod radio huge bathroom location unbeatable right heart watch light festival parade window breakfast excellent help buffet attentive table service hesitation recommend stay hotel,0
get day chicago shopping girlfriend time stay omni see rate include free food travelzoo year old stay suite double bed comfortable pull sofa plenty room food restaurant great service outstanding everone come contact early morning delivery free coffee juice hot chocolate fabulous recommendation staff eat time movie shopping area etc helpful need mention outstanding location simply good decide omni new favorite hotel,0
arrive omni september day stay take ill leave plane travel manchester see room anticipate day room spacious clean bed extremely comfortable bathroom large clean ask coffee juice leave outside door morning time request manage floor sun terrace outside gym have sun terrace city hotel great idea terrace bit grim sunbed concrete floor noise air conditioning unit bit cheer see chicago pleasing omni yes,0
visit chicago choose hyatt location downtown walk distance major attraction sears tower magnificent mile grant millenium park etc subway bus stop close travel location city overall hotel nice clean great location safe area go beautiful wrigley field soldier field see team play love chicago defenitely stay,0
